k,fraction,n_train,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,0.1,2539,8.73,0.41,9.13,0.481
1,0.25,6225,4.69,0.41,5.09,0.4946
1,0.5,12411,6.65,0.39,7.04,0.498
1,0.75,18704,12.25,0.89,13.14,0.5024
1,1.0,25010,15.65,0.39,16.04,0.5082
3,0.1,2539,4.37,0.62,4.99,0.4984
3,0.25,6225,5.36,1.29,6.65,0.5106
3,0.5,12411,7.66,1.22,8.88,0.5264
3,0.75,18704,12.64,1.25,13.89,0.526
3,1.0,25010,15.59,1.23,16.82,0.5412
5,0.1,2539,4.25,1.41,5.66,0.517
5,0.25,6225,6.39,1.5,7.88,0.5256
5,0.5,12411,8.08,1.48,9.57,0.5386
5,0.75,18704,13.09,2.25,15.33,0.5536
5,1.0,25010,16.16,1.51,17.67,0.5536
7,0.1,2539,4.84,2.25,7.09,0.5282
7,0.25,6225,6.5,1.71,8.21,0.5396
7,0.5,12411,9.43,1.66,11.09,0.5388
7,0.75,18704,14.24,1.72,15.96,0.5588
7,1.0,25010,16.81,2.46,19.27,0.5648
