k,# maps,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,256,20.75,3.43,24.19,0.5082
1,128,13.35,1.74,15.09,0.5104
1,64,8.48,0.92,9.4,0.511
1,32,6.22,0.5,6.72,0.5066
1,16,5.19,0.21,5.4,0.5034
3,256,26.02,5.73,31.75,0.5288
3,128,15.91,2.97,18.88,0.533
3,64,9.64,1.57,11.21,0.5346
3,32,6.86,0.74,7.6,0.5276
3,16,5.56,0.37,5.92,0.5374
5,256,31.21,8.4,39.6,0.5508
5,128,18.95,4.27,23.22,0.5524
5,64,11.13,2.24,13.38,0.5554
5,32,7.45,1.12,8.57,0.5536
5,16,5.77,0.57,6.34,0.5514
7,256,35.81,11.38,47.18,0.566
7,128,21.01,5.62,26.62,0.5648
7,64,12.28,2.91,15.2,0.5714
7,32,8.07,1.39,9.46,0.5658
7,16,6.18,0.63,6.8,0.5648
