k,# maps,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,256,38.56,7.66,46.22,0.5084
1,128,21.78,3.59,25.37,0.507
1,64,16.17,2.11,18.29,0.5074
1,32,11.67,0.74,12.41,0.5086
1,16,14.57,1.1,15.67,0.5082
3,256,40.98,12.91,53.89,0.5336
3,128,23.18,6.02,29.2,0.5298
3,64,14.31,3.66,17.96,0.5294
3,32,13.25,1.06,14.31,0.5298
3,16,16.41,1.11,17.52,0.5412
5,256,48.27,18.54,66.81,0.548
5,128,27.46,10.2,37.66,0.5512
5,64,17.2,5.4,22.6,0.5534
5,32,14.51,2.69,17.19,0.5526
5,16,16.09,1.37,17.47,0.5536
7,256,56.1,23.89,79.99,0.5628
7,128,31.56,12.37,43.93,0.5682
7,64,18.26,6.23,24.49,0.5672
7,32,15.99,2.95,18.93,0.5648
7,16,16.41,1.92,18.33,0.5648
