k,fraction,n_train,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,0.1,2419,1.64,0.26,1.92,0.483
1,0.25,6152,3.97,0.25,4.25,0.4942
1,0.5,12473,7.67,0.27,7.96,0.5068
1,0.75,18805,11.53,0.27,11.81,0.5004
1,1.0,25010,15.19,0.26,15.47,0.506
3,0.1,2419,1.67,0.31,2.0,0.5066
3,0.25,6152,3.87,0.32,4.21,0.5226
3,0.5,12473,7.6,0.33,7.94,0.5318
3,0.75,18805,11.47,0.32,11.81,0.536
3,1.0,25010,15.09,0.32,15.43,0.5276
5,0.1,2419,1.68,0.42,2.11,0.5314
5,0.25,6152,4.02,0.41,4.45,0.5386
5,0.5,12473,7.64,0.41,8.08,0.5508
5,0.75,18805,11.41,0.43,11.86,0.5468
5,1.0,25010,15.33,0.41,15.75,0.5538
7,0.1,2419,1.68,0.55,2.25,0.5286
7,0.25,6152,3.98,0.51,4.5,0.546
7,0.5,12473,7.62,0.5,8.13,0.5576
7,0.75,18805,11.48,0.5,12.01,0.557
7,1.0,25010,15.79,0.54,16.34,0.5676
