k,# maps,MapTime(s),RedTime(s),TotalTime(s),Accuracy
1,16,15.13,0.26,15.41,0.506
1,32,15.32,0.48,15.82,0.5072
1,64,15.32,0.85,16.21,0.5036
1,128,14.52,1.64,16.19,0.5054
3,16,15.2,0.33,15.55,0.5276
3,32,15.23,0.64,15.9,0.5342
3,64,15.17,1.22,16.42,0.533
3,128,14.58,2.24,16.85,0.5326
5,16,15.9,0.42,16.34,0.5538
5,32,15.38,0.82,16.22,0.5572
5,64,15.25,1.51,16.8,0.5502
5,128,14.67,2.85,17.55,0.554
7,16,15.26,0.49,15.78,0.5676
7,32,15.32,1.06,16.41,0.567
7,64,15.25,1.85,17.12,0.5698
7,128,14.67,3.59,18.29,0.5678
